Poids,Poids1,nou1,r36a,r36ab,r36,q27_i1,q27_i2,q27_i3,q27_i16,q27_i13,n43_i4,n43_i5,n43_i6,nou10_i4,nou10_i2,q27_i8,q27_i17,q27_i14,q31,q32,nou10_i1,nou7
1.056374,0.6429728,3,1,4,4,4,3,4,3,3,4,4,1,3,4,4,1,3,2,1,4,2
1.1491072,2.1185682,5,3,14,12,3,1,1,4,3,3,3,3,1,2,3,2,3,2,1,4,2
0.9542773,0.570046,3,1,4,4,4,4,4,1,2,4,4,1,4,4,4,2,4,2,1,3,2
0.9655878,1.8234309,5,1,12,11,1,1,1,4,1,1,2,4,1,4,2,1,2,3,1,4,2
0.9742007,1.0312831,2,1,3,4,4,4,4,1,2,4,4,1,4,3,4,1,4,1,1,4,2
1.0492294,0.7343506,5,1,5,4,4,4,4,2,2,4,4,1,4,4,3,3,2,3,2,2,1
0.978601,1.0876638,5,1,7,6,3,3,3,3,2,3,4,2,2,4,2,3,2,4,1,2,1
1.0345602,1.0524243,8,1,7,7,2,1,2,4,1,1,2,4,1,4,1,3,2,4,1,1,1
1.0261487,1.0834596,99,1,9,7,1,1,4,3,2,1,1,4,1,3,3,1,2,2,1,3,1
0.978601,0.7909683,3,1,5,4,3,3,4,2,2,4,3,2,3,4,3,2,3,2,2,2,1
0.9742907,1.0825568,4,1,3,3,1,2,3,3,2,2,2,2,1,3,3,3,1,2,2,2,1
1.0014563,0.6960146,6,1,5,4,4,3,4,4,3,3,3,2,4,4,3,2,4,3,2,3,1
1.0266795,1.0444311,4,1,3,3,3,3,3,3,2,2,3,2,3,3,2,1,2,2,1,3,2
0.9941979,0.6568835,3,1,4,4,4,3,4,1,4,1,4,1,4,4,3,1,3,2,1,5,2
0.969677,0.7086613,4,1,5,4,4,3,3,3,3,3,4,2,3,3,3,3,3,3,2,3,1
1.203836,1.1329749,7,1,7,8,2,1,1,4,2,1,1,4,2,4,1,4,4,3,2,1,1
0.9941979,1.1241053,6,1,7,7,3,3,3,2,2,3,3,2,3,3,3,3,2,2,2,2,1
0.9972827,0.7953717,99,1,5,4,4,4,4,1,1,3,4,1,3,4,1,2,3,2,2,3,1
0.9320736,0.9132634,7,1,9,7,2,2,3,3,2,2,2,2,3,3,3,2,2,3,1,3,2
