pays,poids1,nou1,v0t1,t12022,r36b,q27_i2,q27_i22,q27_i31,q27_i32,q27_i8,q27_i14,q27_i23,q31bv15_i4
1,1.0414541,,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,1.0449791,4.0,1.0,7.0,5.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0
1,1.0449791,7.0,1.0,7.0,5.0,,4.0,2.0,,2.0,2.0,3.0,2.0
1,1.0449791,4.0,1.0,7.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0
1,1.0813617,3.0,1.0,7.0,5.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0
1,1.0894626,0.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0
1,1.0941578,7.0,2.0,,,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0
1,1.0943929,5.0,1.0,7.0,5.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0
1,1.1143944,6.0,1.0,7.0,5.0,2.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0
1,1.1143944,5.0,1.0,7.0,5.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0
1,1.1143944,7.0,1.0,7.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
1,1.1143944,4.0,1.0,7.0,5.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0
1,1.1143944,4.0,1.0,7.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,1.0
1,1.1582378,5.0,1.0,7.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0
1,1.1648551,6.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0
1,1.1672121,6.0,1.0,7.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0
1,1.2114452,3.0,1.0,7.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0
1,1.3525879,2.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0
1,1.366526,1.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0
1,1.4036683,1.0,1.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0
1,1.5335062,5.0,3.0,,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0
1,1.5413773,3.0,1.0,4.0,3.0,1.0,2.0,3.0,3.0,,2.0,2.0,1.0
1,1.6488858,4.0,3.0,,,1.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0
1,1.6611682,7.0,3.0,,,3.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0
1,1.6740359,1.0,1.0,4.0,,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0
1,1.7112881,5.0,1.0,13.0,12.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0
1,1.7286495,3.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0
1,1.7369159,1.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0
1,1.8456087,3.0,1.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,1.0,1.0
1,1.964004,5.0,3.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
1,2.2249691,99.0,1.0,14.0,12.0,3.0,3.0,4.0,2.0,3.0,2.0,,
